finding_id,conclusion_or_fact,evidence_type,source_url,document_no,claim_or_event_location,captured_at,direct_fact_or_inference,confidence,reviewer_action
TFR-E-001,"Roche/Genentech anti-TfR1 BBB-shuttle platform: EP3594240B1 (priority 2013-05-20) claims an antibody binding human and primate TfR without inhibiting transferrin binding (VH SEQ ID NO:153 / VL SEQ ID NO:105), with low-affinity and/or pH-sensitive TfR binding and reduced effector function to avoid reticulocyte depletion, enabling multispecific CNS delivery (BACE1/Abeta/tau/EGFR/HER2).",patent_text_and_metadata,https://patents.google.com/patent/EP3594240B1/en,EP3594240B1,Info section (priority/status); Definitions (claims bullets),2026-08-06,direct_fact,high,Verify granted EP claim set in EPO Register and CN/US national members in CNIPA/USPTO Patent Center.
TFR-E-002,"EP3594240B1 is shown Active on the public mirror with anticipated expiration 2034-05-20; this is a screening signal, not an official legal-status conclusion.",public_status_screen,https://patents.google.com/patent/EP3594240B1/en,EP3594240B1,Info section: Status / Anticipated expiration,2026-08-06,direct_fact,medium,Confirm in EPO Register (European Patent Register) and national registers.
TFR-E-003,"Roche bispecific anti-hapten/anti-BBB-receptor shuttle: US11273223B2 (priority 2014-01-03) claims a bispecific antibody with a hapten-binding specificity (biotin/digoxigenin/theophylline/fluorescein/helicar) and a BBB-receptor (TfR/LRP8/insulin receptor/IGF receptor/HB-EGF) binding specificity, forming non-covalent or covalent (CDR2-cysteine disulfide) complexes with haptenylated payloads for CNS delivery; effector-function-free Fc (LALA-PG or IgG4).",patent_text_and_metadata,https://patents.google.com/patent/US11273223B2/en,US11273223B2,Info section; Definitions (claims bullets),2026-08-06,direct_fact,high,Verify granted US claims and CN/EP national-phase status.
TFR-E-004,"JCR single-chain anti-hTfR antibody + CNS-protein fusion: US9994641B2 (priority 2013-12-25) claims an scFv recognizing hTfR epitopes SEQ ID NOs:1-3 and a C-terminal fusion with a CNS-acting protein (e.g., iduronate-2-sulfatase I2S), enabling BBB transport for CNS/lysosomal storage disease (Hunter/Hurler encephalopathy).",patent_text_and_metadata,https://patents.google.com/patent/US9994641B2/en,US9994641B2,Info section; Definitions; Abstract,2026-08-06,direct_fact,high,Verify granted US claims and CN/EP national-phase status; check JCR product pipeline links.
TFR-E-005,"Ossianix TfR-1-selective shark VNAR nanobody platform: US11918647B2 (priority 2014-11-14) claims VNAR single-domain moieties selectively binding human TfR-1 (apical domain aa 215-380) without blocking transferrin binding and without substantially binding TfR-2, with pH-dependent reversible binding and endocytosis; VNAR-Fc fusions and TfR1/BACE1 bispecifics deliver payloads across the BBB or GI tract.",patent_text_and_metadata,https://patents.google.com/patent/US11918647B2/en,US11918647B2,Info section; Definitions (claims bullets),2026-08-06,direct_fact,high,Verify granted US claims and CN/EP national-phase status.
TFR-E-006,"Dyne muscle-targeting complexes: US11795234B2 / US11839660B2 (base priority 2018-08-02; antibody branch priority 2021-07-09) claim anti-TfR1 antibodies covalently linked to oligonucleotide payloads (DUX4/DMD/DMPK-targeting ASO/gapmer/RNAi/PMO) via cleavable linkers, delivering payloads to muscle (and brain) for FSHD/DMD/DM1; antibodies bind apical TfR epitope, do not inhibit transferrin binding, and are cross-reactive human+NHP.",patent_text_and_metadata,https://patents.google.com/patent/US11839660B2/en,US11839660B2,Info section; Definitions; Figures (in vivo muscle delivery),2026-08-06,direct_fact,high,"Verify granted US claim set and CN/EP national-phase publications (CN115349013B, CN116194470B, CN114025805B listed)."
TFR-E-007,"Denali engineered TfR1-binding transport-vehicle platform: EP3583120B1 / US11732023B2 (priority 2017-02-17) claim engineered TfR1-binding polypeptides (transport vehicles) for brain delivery, with branches for ERT enzyme fusions, progranulin fusions, affinity-based methods, and engineered bispecific proteins.",family_and_status_screen,https://patents.google.com/patent/EP3583120B1/en,EP3583120B1,family/status section; search metadata,2026-08-06,direct_fact,medium,Full text extraction of EP3583120B1 claims and CN/US status required.
TFR-E-008,"Other CD71/TfR1 oncology and delivery families identified in this screening: AbbVie anti-CD71 activatable ADC (priority 2017-10-14), CytomX anti-CD71 activatable antibodies (2015-05-04), GenAhead Bio anti-CD71 ADC (2016-06-20), Sapreme CD71 AOC with saponin endosomal escape (2018-12-21), Inatherys anti-TfR antibodies (2015-07-22), Regeneron TfR-mediated internalizing enzymes (2015-12-08), Fred Hutchinson TfR-targeting peptides (2018-12-14).",family_and_status_screen,https://patents.google.com/patent/US20240115724A1/en,US20240115724A1,search metadata; family/status section,2026-08-06,direct_fact,medium,Individual claim/status verification for each family in official registers.
TFR-E-009,"Boundary families retained separately (not counted as TfR1 core): transferrin-ligand/TfR-targeted nanoparticles (UT Austin/SynerGene, priority 2006-09-12), TfR1 context in ferroptosis modulators (Columbia, 2012-04-02), TfR/CD71 in diagnostics/imaging (Lumicell, 2009-05-27).",family_and_status_screen,https://patents.google.com/patent/US8821943B2/en,US8821943B2,search metadata; representative claims,2026-08-06,direct_fact,medium,Decide whether to pull these into core scope depending on the user's TfR1 focus.
TFR-E-010,"Google Patents search hit counts (as of 2026-08-06): 'transferrin receptor' antibody ~57,323; 'transferrin receptor 1'/'TfR1'/'CD71' antibody ~43,455; 'transferrin receptor' blood-brain-barrier ~17,354; 'transferrin receptor' conjugate ~48,670; 'transferrin receptor' ADC (includes analog-to-digital-converter noise) ~145,880.",query_metadata,https://patents.google.com/,,search summary,2026-08-06,direct_fact,medium,These are raw hit counts (not family counts); ADC keyword introduces electronic-engineering noise that must be excluded.
