family_id,representative_document,relevance,review_priority,screen_score,feature_coverage,matched_features,partial_features,matched_feature_coverage,matched_terms,claim_categories,official_status_signal,status_source,source_url,notes
P53-FAM-010,EP4034104B1,unknown,HIGH,0.9981,0.7381,"F01, F02, F04",,"F01=1.00 (靶点/机制, 机制词, 适应症); F02=1.00 (靶点/机制, 突变/标志物); F04=0.50 (伴随诊断/分层)","F01: p53, TP53, p53-Y220C, p53再激活, Y220C, cancer; F02: p53, TP53, p53-Y220C, p53再激活, p53 Y220C, Y220C; F04: biomarker",biomarker; compound; indication; method,Active (EP granted; anticipated expiration 2040-09-22),Google Patents XHR via Jina mirror + EP4034104B1 detail page,https://patents.google.com/patent/EP4034104B1/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
P53-FAM-008,WO2021053155A1,unknown,HIGH,0.9681,0.7381,"F01, F02, F04",,"F01=1.00 (靶点/机制, 机制词, 适应症); F02=1.00 (靶点/机制, 突变/标志物); F04=0.50 (联合治疗)","F01: p53, TP53, mutant p53, p53再激活, p53 reactivator, PRIMA-1, Y220C, cancer, AML, MDS, lymphoma, TP53-mutant cancer; F02: p53, TP53, mutant p53, p53再激活, TP53-mutant, mutant p53, Y220C; F04: p53 reactivator combination, rituximab combination, combination",combination,public mirror;待官方核验,Google Patents XHR via Jina mirror,https://patents.google.com/patent/WO2021053155A1/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
P53-FAM-023,US20230338337A1,unknown,HIGH,0.9681,0.7381,"F01, F02, F04",,"F01=1.00 (靶点/机制, 机制词, 适应症); F02=1.00 (靶点/机制, 突变/标志物); F04=0.50 (伴随诊断/分层)","F01: p53, TP53, MDM2, MDM2 antagonist, MDM2拮抗剂, cancer; F02: p53, TP53, MDM2, TP53 status; F04: patient selection, TP53 status biomarker, biomarker, 生物标志物, 伴随诊断",biomarker,public mirror;待官方核验,Google Patents XHR via Jina mirror,https://patents.google.com/patent/WO2021133772A1/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
P53-FAM-025,WO2021113644A1,unknown,HIGH,0.9681,0.7381,"F01, F02, F04",,"F01=1.00 (靶点/机制, 机制词, 适应症); F02=1.00 (靶点/机制, 突变/标志物); F04=0.50 (联合治疗)","F01: p53, TP53, p53 tumor suppressor, mutant p53, p53 reactivator, cancer, tumor; F02: p53, TP53, p53 tumor suppressor, mutant p53, mutant p53; F04: immune checkpoint combination, combination",combination,public mirror;待官方核验,Google Patents XHR via Jina mirror,https://patents.google.com/patent/WO2021113644A1/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
P53-FAM-022,CN117986235A,unknown,HIGH,0.9267,0.6667,"F01, F02",,"F01=1.00 (靶点/机制, 机制词, 适应症); F02=1.00 (靶点/机制, 突变/标志物)","F01: p53, TP53, p53-Y220C, p53再激活, Y220C, cancer; F02: p53, TP53, p53-Y220C, p53再激活, p53 Y220C, Y220C",compound,"CN application (公开), 审查中",Google Patents XHR via Jina mirror,https://patents.google.com/patent/CN117986235A/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
P53-FAM-003,US20190276414A1,unknown,HIGH,0.8967,0.6667,"F01, F02, F04",,"F01=1.00 (靶点/机制, 机制词, 适应症); F02=0.50 (靶点/机制); F04=1.00 (联合治疗, 伴随诊断/分层)","F01: p53, TP53, MDM2, MDM2 inhibitor, cancer; F02: p53, TP53, MDM2; F04: combination, 生物标志物",combination; compound,public mirror;待官方核验,Google Patents XHR via Jina mirror,https://patents.google.com/patent/WO2018142350A1/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
P53-FAM-009,JP6106228B2,unknown,HIGH,0.8967,0.6667,"F01, F02",,"F01=1.00 (靶点/机制, 机制词, 适应症); F02=1.00 (靶点/机制, 突变/标志物)","F01: p53, TP53, mutant p53, p53再激活, PRIMA-1, quinuclidinone, cancer, tumor, solid tumor; F02: p53, TP53, mutant p53, p53再激活, TP53-mutant, mutant p53",compound; formulation,public mirror;待官方核验,Google Patents XHR via Jina mirror,https://patents.google.com/patent/JP6106228B2/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
P53-FAM-011,WO2023016434A1,unknown,HIGH,0.8967,0.6667,"F01, F02",,"F01=1.00 (靶点/机制, 机制词, 适应症); F02=1.00 (靶点/机制, 突变/标志物)","F01: p53, TP53, mutant p53, p53-Y220C, Y220C, cancer; F02: p53, TP53, mutant p53, p53-Y220C, p53 Y220C, mutant p53, Y220C",compound,public mirror;待官方核验,Google Patents XHR via Jina mirror,https://patents.google.com/patent/WO2023016434A1/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
P53-FAM-017,US10080774B2,unknown,HIGH,0.8411,0.6111,"F01, F02, F03, F04",,"F01=0.67 (靶点/机制, 适应症); F02=0.50 (靶点/机制); F03=1.00 (基因治疗); F04=0.50 (联合治疗)","F01: p53, tumor; F02: p53; F03: 腺病毒p53, 溶瘤腺病毒; F04: combination",gene_therapy,public mirror;待官方核验,Google Patents XHR via Jina mirror,https://patents.google.com/patent/US10080774B2/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
P53-FAM-006,US20180280374A1,unknown,HIGH,0.8252,0.5952,"F01, F02, F04",,"F01=1.00 (靶点/机制, 机制词, 适应症); F02=0.50 (靶点/机制); F04=0.50 (联合治疗)","F01: p53, TP53, MDM2, MDM2 inhibitor, MDM2拮抗剂, cancer, 肿瘤, 血液肿瘤; F02: p53, TP53, MDM2; F04: MDM2 inhibitor combination, BCL-2 inhibitor combination, combination",combination; compound,public mirror;待官方核验,Google Patents XHR via Jina mirror,https://patents.google.com/patent/WO2018140850A1/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
P53-FAM-007,US20170071908A1,unknown,HIGH,0.8252,0.5952,"F01, F02, F04",,"F01=1.00 (靶点/机制, 机制词, 适应症); F02=0.50 (靶点/机制); F04=0.50 (联合治疗)","F01: p53, TP53, MDM2, MDM2 inhibitor, MDM2拮抗剂, cancer; F02: p53, TP53, MDM2; F04: combination therapy, combination",combination; compound,public mirror;待官方核验,Google Patents XHR via Jina mirror,https://patents.google.com/patent/WO2015172117A1/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
P53-FAM-012,US9284275B2,unknown,HIGH,0.7697,0.5397,"F01, F02",,"F01=0.67 (靶点/机制, 适应症); F02=1.00 (靶点/机制, 突变/标志物)","F01: p53, TP53, mutant p53, p53再激活, cancer; F02: p53, TP53, mutant p53, p53再激活, TP53-mutant, mutant p53",compound,public mirror;待官方核验,Google Patents XHR via Jina mirror,https://patents.google.com/patent/US9284275B2/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
P53-FAM-014,US7041284B2,unknown,HIGH,0.7697,0.5397,"F01, F02, F03",,"F01=0.67 (靶点/机制, 适应症); F02=0.50 (靶点/机制); F03=1.00 (基因治疗)","F01: p53, TP53, tumor; F02: p53, TP53; F03: p53 gene therapy, Ad-p53, SCH-58500, p53基因治疗",gene_therapy; method,public mirror;待官方核验,Google Patents XHR via Jina mirror,https://patents.google.com/patent/US7041284B2/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
P53-FAM-016,CN101274096B,unknown,HIGH,0.7697,0.5397,"F01, F02, F03",,"F01=0.67 (靶点/机制, 适应症); F02=0.50 (靶点/机制); F03=1.00 (基因治疗)","F01: p53, cancer; F02: p53; F03: p53 gene therapy, Ad5CMV-p53, Gendicine, p53基因治疗",gene_therapy,public mirror;待官方核验,Google Patents XHR via Jina mirror; 领域知识,https://patents.google.com/patent/CN101274096B/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
P53-FAM-001,US20050239095A1,unknown,HIGH,0.7538,0.5238,"F01, F02",,"F01=1.00 (靶点/机制, 机制词, 适应症); F02=0.50 (靶点/机制)","F01: p53, MDM2, p53-MDM2 interaction, MDM2 antagonist, nutlin, cancer; F02: p53, MDM2, p53-MDM2 interaction",composition; compound,public mirror;待官方核验,Google Patents XHR via Jina mirror,https://patents.google.com/patent/US20050239095A1/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
