family_id,document,claim_category,element,coverage,claim_location,evidence_url,confidence,notes
TFR-FAM-001,EP3594240B1,composition,isolated antibody that binds human TfR and primate TfR without inhibiting transferrin binding; VH SEQ ID NO:153 / VL SEQ ID NO:105,明确披露,independent-claim set; sequence-defined claims,https://patents.google.com/patent/EP3594240B1/en,high,Core composition; sequence-defined claims confirmed on public page.
TFR-FAM-001,EP3594240B1,method-of-treatment,use of anti-TfR antibody to deliver a therapeutic/neurological-drug payload across the BBB (multispecific with BACE1/Abeta/tau/EGFR/HER2 etc.),可能覆盖,use claims; description,https://patents.google.com/patent/EP3594240B1/en,medium,Multispecific CNS-delivery use is described; exact independent-claim wording and CN/US scope need review.
TFR-FAM-001,EP3594240B1,mechanism,low-affinity and/or pH-sensitive TfR binding; reduced/eliminated effector function to avoid reticulocyte depletion,明确披露,description/claims,https://patents.google.com/patent/EP3594240B1/en,high,Reticulocyte-sparing engineering is a central disclosure (avoiding ADCC of TfR-rich reticulocytes).
TFR-FAM-003,US11273223B2,composition,bispecific antibody with first specificity for a hapten (biotin/digoxigenin/theophylline/fluorescein/helicar) and second specificity for TfR (or LRP8/insulin receptor/IGF receptor/HB-EGF),明确披露,independent-claim set,https://patents.google.com/patent/US11273223B2/en,high,Core claim structure confirmed on public page.
TFR-FAM-003,US11273223B2,conjugate,non-covalent or covalent (CDR2-cysteine disulfide) complex of the bispecific antibody with a haptenylated payload,明确披露,claims,https://patents.google.com/patent/US11273223B2/en,high,Payload-agnostic haptenylation is the central concept.
TFR-FAM-003,US11273223B2,use,"use as blood-brain-barrier shuttle for CNS delivery of payloads (e.g., anti-alpha-synuclein, anti-Tau(pS422), anti-Abeta, inhibitory nucleic acids, small molecules)",可能覆盖,claims/description,https://patents.google.com/patent/US11273223B2/en,medium,Exemplary payloads disclosed; scope depends on granted claim set.
TFR-FAM-006,US9994641B2,composition,single-chain anti-human TfR antibody recognizing peptide epitopes SEQ ID NOs:1-3,明确披露,claims,https://patents.google.com/patent/US9994641B2/en,high,Sequence/epitope-defined scFv claims.
TFR-FAM-006,US9994641B2,fusion-protein,"fusion protein of the scFv with a CNS-acting protein (e.g., lysosomal enzyme iduronate-2-sulfatase I2S) fused at C-terminus",明确披露,claims,https://patents.google.com/patent/US9994641B2/en,high,ERT enzyme fusion is core (Hunter syndrome CNS disease).
TFR-FAM-006,US9994641B2,method-of-treatment,"method to deliver a protein across the BBB into CNS by administering the scFv-fusion to treat CNS disease (Hunter/Hurler encephalopathy, neurodegeneration)",可能覆盖,claims/description,https://patents.google.com/patent/US9994641B2/en,medium,CNS treatment use disclosed; independent-claim specificity to be confirmed.
TFR-FAM-010,US11918647B2,composition,TfR-1-selective nurse-shark VNAR single-domain antibody moieties (FW1-CDR1-FW2-HV2-FW2'-HV4-FW3-CDR3-FW4); SEQ ID NOS.1-184,明确披露,claims; sequence-defined,https://patents.google.com/patent/US11918647B2/en,high,VNAR composition claims.
