"finding_id","conclusion_or_fact","evidence_type","source_url","document_no","claim_or_event_location","captured_at","direct_fact_or_inference","confidence","reviewer_action","family_ids","claim_ids"
"P53-EVI-001","P53 靶点治疗领域主要分五大技术方向：MDM2/MDMX-p53 拮抗剂、突变 p53 再激活、p53 基因治疗、p53 疫苗/抗体、p53/PROTAC 蛋白降解；约 50% 人类肿瘤含 TP53 突变","E4","https://en.wikipedia.org/wiki/P53","","","2026-08-07","direct_fact","medium","以官方综述与领域知识复核统计口径","",""
"P53-EVI-002","Google Patents XHR 检索 'idasanutlin OR RG7388' 全库 2085 条，MDM2 拮抗剂领域专利密度极高","E3","https://patents.google.com/","","search query idasanutlin OR RG7388","2026-08-07","direct_fact","medium","记录真实检索式与日期；结果数为聚合快照","",""
"P53-EVI-003","PMV rezatapopt (PC14586) 核心族 EP4034104B1：权利要求1为化合物、权利要求4为诱导 p53 突变细胞凋亡、权利要求8为癌症治疗用途(20-2000mg)、权利要求6明确 Y220C 靶点；状态 Active, exp 2040-09-22","E2","https://patents.google.com/patent/EP4034104B1/en","EP4034104B1","Claims 1/4/6/8; Status/expiration","2026-08-07","direct_fact","high","回 EPO Register 核验授权与异议记录","P53-FAM-010","CL-P53-010-1;CL-P53-010-2;CL-P53-010-3;CL-P53-010-4"
"P53-EVI-004","Canji/Schering Ad-p53 基因治疗族 US7041284B2 权利要求1为表达 p53 的重组腺病毒载体(CMV启动子)，用于 p53 缺陷肿瘤；优先权 1993-10-25","E2","https://patents.google.com/patent/US7041284B2/en","US7041284B2","Claim 1; Info priority date","2026-08-07","direct_fact","high","回 USPTO 核验授权有效性、期日与转让","P53-FAM-014","CL-P53-014-1;CL-P53-014-2"
"P53-EVI-005","Multivir US9746471B2 权利要求覆盖 p53 生物标志物谱预测 p53 基因治疗反应；优先权 2008-01-25；p53 伴随诊断/患者分层方向","E2","https://patents.google.com/patent/US9746471B2/en","US9746471B2","Abstract; Claims; Info","2026-08-07","direct_fact","high","回 USPTO 核验授权与同族国家阶段","P53-FAM-015","CL-P53-015-1"
"P53-EVI-006","Aprea APR-246/eprenetapopt 联用族 WO2021053155A1 覆盖 p53 再激活剂 + Bcl-2/Mcl-1 抑制剂 + 利妥昔单抗治疗 TP53 突变肿瘤/淋巴瘤；优先权 2019-09-18","E2","https://patents.google.com/patent/WO2021053155A1/en","WO2021053155A1","Abstract; Claims; Info","2026-08-07","direct_fact","high","回 WIPO/EPO/USPTO 核验国家阶段状态","P53-FAM-008","CL-P53-008-1"
"P53-EVI-007","APR-246 活性成分 3-quinuclidinone 核心族 JP6106228B2/DK2525796T3 覆盖 PRIMA-1MET 化合物与水溶液制剂；优先权 2010-01-21","E2","https://patents.google.com/patent/JP6106228B2/en","JP6106228B2","Info grant, priority; claims","2026-08-07","direct_fact","medium","回 JPO/EPO 核验授权与年费","P53-FAM-009","CL-P53-009-1;CL-P53-009-2"
"P53-EVI-008","Jacobio WO2023016434A1 为针对突变 p53(Y220C)的新骨架化合物，说明书以 PC14586 为参照说明创新点；优先权 2021-08-10","E2","https://patents.google.com/patent/WO2023016434A1/en","WO2023016434A1","Title/Abstract; Claims; Info","2026-08-07","direct_fact","high","回 WIPO 核验族与 CN 国家阶段","P53-FAM-011","CL-P53-011-1"
"P53-EVI-009","长春金赛 CN117986235A 为 p53-Y220C 选择性小分子再激活剂公开申请(审查中)；优先权 2022-11-04","E2","https://patents.google.com/patent/CN117986235A/en","CN117986235A","Title/Abstract; Info","2026-08-07","direct_fact","medium","回 CNIPA 核验审查状态与授权范围","P53-FAM-022","CL-P53-022-1"
"P53-EVI-010","Google Patents XHR 检索 'APG-115 OR alrizomadlin' 全库 182 条；AU2019314624B2/US12268665B2 为 BCL-2+MDM2 联用族授权成员","E3","https://patents.google.com/xhr/query?url=q%3D%22APG-115%22","WO2018140850A1;AU2019314624B2;US12268665B2","search APG-115; family members","2026-08-07","direct_fact","medium","回 AU/USPTO 核验授权与权利要求","P53-FAM-006","CL-P53-006-1;CL-P53-006-2"
"P53-EVI-011","Novartis siremadlin/HDM201 化合物与联用族 WO2018142350A1；CA2992221C 与 AU2017362040B2 为同系列 MDM2 抑制剂与剂量/给药方案授权成员","E2","https://patents.google.com/patent/WO2018142350A1/en","WO2018142350A1;CA2992221C;AU2017362040B2","Claims; Info; family","2026-08-07","direct_fact","medium","回 CA/AU/EPO 核验授权与范围","P53-FAM-003","CL-P53-003-1;CL-P53-003-2"
