family_id,representative_document,relevance,review_priority,screen_score,feature_coverage,matched_features,partial_features,matched_feature_coverage,matched_terms,claim_categories,official_status_signal,status_source,source_url,notes
F02,US11008375B2,high,HIGH,1.0,0.8095,"F01, F02",,"F01=0.67 (研究对象, 适应症); F02=1.00 (用途与治疗)","F01: GIP/GLP-1 dual, diabetes, obesity; F02: method of treatment",composition; compound; method_of_treatment,granted(US/CN),Google Patents (E3),https://patents.google.com/patent/US11008375B2/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
F03,US12091404B2,high,HIGH,1.0,1.0,"F01, F02",,"F01=1.00 (研究对象, 靶点/机制, 适应症); F02=1.00 (用途与治疗)","F01: GLP-1RA, GLP1R agonist, GLP-1R, GLP1R, diabetes, obesity; F02: method of treatment, combination",combination; composition; compound; method_of_treatment,granted(US/TW/AU),Google Patents (E3),https://patents.google.com/patent/US12091404B2/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
F05,US11584751B1,high,HIGH,1.0,1.0,"F01, F02",,"F01=1.00 (研究对象, 靶点/机制, 适应症); F02=1.00 (用途与治疗)","F01: GLP-1RA, GLP1R agonist, GLP-1R, GLP1R, diabetes, obesity; F02: method of treatment",compound; method_of_treatment,granted(US),Google Patents (E3),https://patents.google.com/patent/US11584751B1/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
F06,US11981666B2,high,HIGH,1.0,1.0,"F01, F02",,"F01=1.00 (研究对象, 靶点/机制, 适应症); F02=1.00 (用途与治疗)","F01: GLP-1RA, GLP1R agonist, GLP-1R, GLP1R, diabetes, obesity; F02: method of treatment",composition; compound; method_of_treatment,granted(US/CN); pending elsewhere,Google Patents (E3),https://patents.google.com/patent/US11981666B2/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
F08,US20240374587A1,medium,HIGH,1.0,1.0,"F01, F02",,"F01=1.00 (研究对象, 靶点/机制, 适应症); F02=1.00 (用途与治疗)","F01: semaglutide, tirzepatide, orforglipron, GLP-1RA, GLP1R agonist, GLP-1R, GLP1R, obesity; F02: method of treatment, combination",combination,pending,Google Patents (E3),https://patents.google.com/patent/US20240374587A1/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
F09,CN112469731B,high,HIGH,1.0,0.8095,"F01, F02",,"F01=0.67 (研究对象, 适应症); F02=1.00 (用途与治疗)","F01: tirzepatide, GIP/GLP1 co-agonist, diabetes, obesity; F02: method of treatment",compound,granted(CN/TW),Google Patents (E3),https://patents.google.com/patent/CN112469731B/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
F15,CN113773310B,low-medium,HIGH,1.0,0.8095,"F01, F02",,"F01=0.67 (研究对象, 靶点/机制); F02=1.00 (用途与治疗)","F01: GLP-1RA, GLP1R agonist, GLP-1R, GLP1R; F02: method of treatment",compound,granted(CN),Google Patents (E3),https://patents.google.com/patent/CN113773310B/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
F17,US12391762B2,low-medium,HIGH,1.0,0.8095,"F01, F02",,"F01=0.67 (研究对象, 靶点/机制); F02=1.00 (用途与治疗)","F01: GLP-1RA, GLP1R agonist, GLP-1R, GLP1R; F02: method of treatment",antibody,granted(US/JP),Google Patents (E3),https://patents.google.com/patent/US12391762B2/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
F18,JP7574253B2,medium,HIGH,1.0,0.8095,"F01, F02",,"F01=0.67 (研究对象, 靶点/机制); F02=1.00 (用途与治疗)","F01: GLP-1RA, peptide GLP-1, GLP1R agonist, GLP-1R, GLP1R; F02: method of treatment, combination",method_of_treatment,granted(JP/ES),Google Patents (E3),https://patents.google.com/patent/JP7574253B2/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
F19,WO2025042974A1,low,HIGH,1.0,0.8095,"F01, F02",,"F01=0.67 (研究对象, 靶点/机制); F02=1.00 (用途与治疗)","F01: GLP-1RA, GLP1R agonist, GLP-1R, GLP-1 receptor, GLP1R; F02: method of treatment",delivery,pending,Google Patents (E3),https://patents.google.com/patent/WO2025042974A1/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
F01,US20240277817A1,high,MEDIUM,0.729,0.619,F02,F01,F01=0.33 (研究对象); F02=1.00 (用途与治疗),F01: semaglutide; F02: method of treatment,composition; formulation,granted(ES)/pending(US) - 待核验,Google Patents (E3); EPO register pending,https://patents.google.com/patent/US20240277817A1/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
F12,US9789165B2,medium,MEDIUM,0.729,0.619,F02,F01,F01=0.33 (适应症); F02=1.00 (用途与治疗),"F01: diabetes, obesity; F02: method of treatment",compound,granted(US/EP),Google Patents (E3),https://patents.google.com/patent/US9789165B2/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
F20,HK40111760A,low-medium,MEDIUM,0.729,0.619,F02,F01,F01=0.33 (靶点/机制); F02=1.00 (用途与治疗),"F01: GLP-1R, GLP-1 receptor, GLP1R; F02: combination",composition,pending,Google Patents (E3),https://patents.google.com/patent/HK40111760A/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
F04,US20260035362A1,high,MEDIUM,0.561,0.381,F01,,"F01=0.67 (研究对象, 靶点/机制)","F01: GLP-1RA, GLP1R agonist, GLP-1R, GLP1R",compound; process,granted(AU/CN)/pending(US),Google Patents (E3),https://patents.google.com/patent/US20260035362A1/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
F07,CN117242067B,medium,MEDIUM,0.561,0.381,F01,,"F01=0.67 (研究对象, 靶点/机制)","F01: GLP-1RA, GLP1R agonist, GLP-1R, GLP1R",compound,granted(CN),Google Patents (E3),https://patents.google.com/patent/CN117242067B/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
F16,EP4229050A1,medium,MEDIUM,0.561,0.381,F01,,"F01=0.67 (研究对象, 靶点/机制)","F01: GLP-1RA, GLP1R agonist, GLP-1R, GLP1R",compound,pending,Google Patents (E3),https://patents.google.com/patent/EP4229050A1/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
