family_id,representative_document,relevance,review_priority,screen_score,feature_coverage,matched_features,partial_features,matched_feature_coverage,matched_terms,claim_categories,official_status_signal,status_source,source_url,notes
TFR-FAM-013,US11795234B2,core,LOW,0.9995,0.8095,F02,F01,"F01=0.67 (研究对象, 靶点/机制); F02=1.00 (用途与治疗)","F01: TfR1, TfR1; F02: method of treatment, combination, regimen",composition; conjugate; indication; method-of-treatment,US granted 2023-10-24 (11795234B2) and 2023-12-12 (11839660B2) Active (expires up to 2042-07-08); multiple US members; CN/EP national-phase status to verify,Google Patents public mirror; official register review required,https://patents.google.com/patent/US11839660B2/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
TFR-FAM-015,US20240115724A1,core,LOW,0.9995,0.8095,F02,F01,"F01=0.67 (研究对象, 靶点/机制); F02=1.00 (用途与治疗)","F01: CD71, CD71; F02: method of treatment",conjugate; indication,US application US20240115724A1 shown Abandoned on public mirror (2026-08-06); US parent/granted and CN/EP members require official review,Google Patents public mirror; official register review required,https://patents.google.com/patent/US20240115724A1/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
TFR-FAM-021,EP3583120B1,core,LOW,0.9995,0.8095,F02,F01,"F01=0.67 (研究对象, 靶点/机制); F02=1.00 (用途与治疗)","F01: TfR1, TfR1; F02: method of treatment",composition; use,EP granted 2022-10-05 shown Active (expires 2038-02-15); US11732023B2 granted; CN national-phase to verify,Google Patents public mirror; official register review required,https://patents.google.com/patent/EP3583120B1/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
TFR-FAM-016,US20220306759A1,core,LOW,0.9695,0.8095,F02,F01,"F01=0.67 (研究对象, 靶点/机制); F02=1.00 (用途与治疗)","F01: CD71, CD71; F02: method of treatment",composition,US application US20220306759A1 shown Abandoned on public mirror (2026-08-06); other members require official review,Google Patents public mirror; official register review required,https://patents.google.com/patent/US20220306759A1/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
TFR-FAM-024,US10597381B2,boundary,LOW,0.9195,0.8095,F02,F01,"F01=0.67 (研究对象, 靶点/机制); F02=1.00 (用途与治疗)","F01: TfR1, TfR1; F02: method of treatment",mechanism,US granted 2020-03-24 shown on public mirror; official review required,Google Patents public mirror; official register review required,https://patents.google.com/patent/US10597381B2/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
TFR-FAM-001,EP3594240B1,core,LOW,0.6186,0.4286,F02,,F02=1.00 (用途与治疗),"F02: method of treatment, combination",composition; mechanism; method-of-treatment,EP granted 2023-12-06 and shown Active on public mirror (anticipated expiry 2034-05-20); CN/US official registers require review,Google Patents public mirror / EPO Register link; official CNIPA/USPTO verification pending,https://patents.google.com/patent/EP3594240B1/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
TFR-FAM-003,US11273223B2,core,LOW,0.6186,0.4286,F02,,F02=1.00 (用途与治疗),F02: method of treatment,composition; conjugate; use,US granted 2022-03-15 Active (expires 2035-02-16); CN/EP status to verify,Google Patents public mirror; official register review required,https://patents.google.com/patent/US11273223B2/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
TFR-FAM-006,US9994641B2,core,LOW,0.6186,0.4286,F02,,F02=1.00 (用途与治疗),F02: method of treatment,composition; fusion-protein; method-of-treatment,US granted 2018-06-12 Active (expires 2034-12-24); CN/EP status to verify,Google Patents public mirror; official register review required,https://patents.google.com/patent/US9994641B2/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
TFR-FAM-019,CA2992509C,core,LOW,0.6186,0.4286,F02,,F02=1.00 (用途与治疗),F02: method of treatment,composition,CA granted 2022-08-23 shown on public mirror; US/EP status to verify,Google Patents public mirror; official register review required,https://patents.google.com/patent/CA2992509C/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
TFR-FAM-023,US8821943B2,boundary,LOW,0.5386,0.4286,F02,,F02=1.00 (用途与治疗),F02: method of treatment,formulation,US granted 2014-09-02 shown Active; official review required,Google Patents public mirror; official register review required,https://patents.google.com/patent/US8821943B2/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
TFR-FAM-010,US11918647B2,core,LOW,0.491,0.381,,F01,"F01=0.67 (研究对象, 靶点/机制)","F01: TfR1, TfR1",composition; conjugate; mechanism; use,US granted 2024-03-05 Active (expires 2038-01-05); CN/EP status to verify,Google Patents public mirror; official register review required,https://patents.google.com/patent/US11918647B2/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
TFR-FAM-018,EP4015003B1,core,LOW,0.491,0.381,,F01,"F01=0.67 (研究对象, 靶点/机制)","F01: CD71, CD71",conjugate,EP granted 2023-05-10 shown Active (expires 2039-12-09); CN/US national-phase to verify,Google Patents public mirror; official register review required,https://patents.google.com/patent/EP4015003B1/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
