finding_id,conclusion_or_fact,evidence_type,source_url,document_no,claim_or_event_location,captured_at,direct_fact_or_inference,confidence,reviewer_action
TA-E-001,"WO2020112889A2(Alector项目关联)的方法权利要求语言明确包含""施用激动性抗TREM2抗体治疗动脉粥样硬化""",patent_abstract_and_claim_screen(WebSearch摘要片段),https://patents.google.com/patent/WO2020112889A2/en,WO2020112889A2,独立权利要求(编号未核实);说明书背景,2026-08-06,direct_fact,low,登录WIPO Patentscope或Google Patents原文核实claim编号、精确保护范围及从属限定;确认受让人字段与优先权号。
TA-E-002,"AL002a(Alector AL002的小鼠替代抗体)在动脉粥样硬化小鼠模型中被证实可促进斑块巨噬细胞存活与胶原沉积,改善斑块稳定性特征",peer_reviewed_literature,https://www.ahajournals.org/doi/10.1161/ATVBAHA.124.320797,"N/A(非专利文献,ATVB 2024论文)",论文全文(Brief Report),2026-08-06,direct_fact,medium,"这是研发/学术证据而非专利法律证据;不能替代TA-FAM-001或TA-FAM-002的claim覆盖判断;论文作者为Alector雇员,存在利益相关性需在报告中披露。"
TA-E-003,"WO2016023019A2(Alector)优先权日为2014-08-08,PCT申请号PCT/US2015/044396,族内成员含AU2015300787A/CN201580054105.8A/MX2017001531A/CA2955086A/JP2017527545A/NZ729157A",aggregator_metadata_screen(WebSearch摘要片段引用Google Patents字段),https://patents.google.com/patent/WO2016023019A2/en,WO2016023019A2,元数据字段(优先权/同族列表),2026-08-06,direct_fact,low,"元数据来自聚合站点渲染,非官方登记簿;需核实各国家阶段当前法律状态及CN申请号对应的公开/授权号。"
TA-E-004,"US11186636B2受让人为Amgen Inc.,对应PCT/US2018/028691,申请日2018-04-20,授权日2021-11-30,与Alector的TREM2抗体族相互独立",aggregator_metadata_screen(WebSearch摘要片段),https://patents.google.com/patent/US11186636B2/en,US11186636B2,元数据字段,2026-08-06,direct_fact,low,需通过USPTO Patent Center核实当前维持状态(年费、诉讼/复审记录)。
TA-E-005,"WO2018195506A1受让人为Denali Therapeutics Inc.,公开日2018-10-25;与之标题相同的WO2023039612A1、US20240376199A1为后续/关联申请,但彼此优先权号是否相同未核实","aggregator_metadata_screen(WebSearch摘要片段,及后续专利对本篇的背景引用)",https://patents.google.com/patent/WO2018195506A1/en,WO2018195506A1,元数据字段;后续专利背景引用段落,2026-08-06,inference,low,"需人工比对优先权申请号,确认WO2018195506A1、WO2023039612A1、US20240376199A1是否属于同一DOCDB简单族或应作为INPADOC扩展族的不同分支处理。"
TA-E-006,"Denali的ATV:TREM2(对应WO2019055841A1/US11124567B2,临床代号DNL919/TAK-920)为血脑屏障递送工程化分支,已在阿尔茨海默病I期临床中止开发(可逆性血液学毒性信号,治疗窗窄)",news_and_literature_cross_check,https://www.neurologylive.com/view/fda-clinical-hold-ind-dnl919-alzheimer-disease,US11124567B2 / DNL919(非专利文献补充),新闻报道正文;PMC论文(PMC9991924),2026-08-06,direct_fact,medium,"研发情报层证据,不构成专利法律状态判断;与动脉粥样硬化适应症无直接关联证据。"
TA-E-007,"EOS006215(iTeos)为拮抗性抗TREM2抗体,阻断TREM2多聚化及efferocytosis,主要开发方向为肿瘤(TRM-010 I期临床),对应专利WO2025046298A2/US20250282868A1;说明书背景提及动脉粥样硬化,但独立权利要求未见覆盖该适应症",patent_abstract_and_claim_screen + company_disclosure_cross_check,https://synapse.patsnap.com/drug/f526a79e505f433f9f7904ab6ce5822a,WO2025046298A2,说明书背景章节;权利要求章节(摘要片段转述),2026-08-06,direct_fact,low,"需人工核实claims全文,确认是否存在覆盖广谱TREM2相关病症(含动脉粥样硬化)的从属权利要求;另需关注iTeos被Concentra Biosciences收购要约后管线归属变化。"
TA-E-008,"Amgen/Vigil小分子TREM2激动剂项目(VG-3927为先导化合物)据二手统计(ChemJam)共发表约10件同主题WO专利申请,本次检索仅核实到WO2024097798、WO2025136936A1两个公开号",secondary_aggregator_and_news_cross_check,https://www.chemjam.com/TREM2.html,WO2024097798; WO2025136936A1,"文章正文(二手统计,未附完整WO清单)",2026-08-06,inference,low,"检索缺口:其余约8件WO申请公开号未逐一核实;VG-3927开发方Vigil已被Sanofi收购(2025年5月公告,约4.7亿美元),原Amgen来源的iluzanebart项目权利将返还Amgen。"
TA-E-009,"CN114010658A(TREM2hi巨噬细胞过继性细胞治疗)适应症为脓毒症/心肌梗死/心力衰竭相关心脏功能障碍,技术形态为细胞治疗而非TREM2调节药物,不属于本案核心研究对象,予以排除",patent_abstract_screen(WebSearch摘要片段),https://patents.google.com/patent/CN114010658A/zh,CN114010658A,说明书摘要,2026-08-06,direct_fact,low,"排除记录,保留原因以备复核;若用户后续希望覆盖""TREM2相关心血管病细胞治疗""更宽技术范围,可重新纳入。"
TA-E-010,"本案证据均来自WebSearch搜索引擎返回的摘要片段;运行环境的WebFetch工具被安全策略拦截,无法直接访问Google Patents、WIPO Patentscope、Espacenet、Justia等专利数据库原始页面获取claim全文或官方法律状态",tooling_limitation_disclosure,N/A,N/A,N/A,2026-08-06,direct_fact,high,"这是贯穿全案的方法论限制,须在执行摘要及各模块报告中显著披露;所有""official_status""字段应保持""待核验"",不得写成""有效""或具体法律结论。"
