family_id,family_definition,representative_document,representative_application,grants,earliest_priority,publication_date,applicant_or_assignee,inventors,jurisdictions,claim_theme,claim_categories,key_claim_elements,mutation_or_biomarker,official_status,status_as_of,status_source,status_confidence,source_url,relevance,notes
F01,Novo Nordisk oral semaglutide / SNAC solid oral composition,US20240277817A1,US20240277817A1; WO2018US; ES3041298T3; CN...,ES3041298T3; US patents in family,2010-01-01,2024-08-01,Novo Nordisk A/S,n/a (multiple),"WO,US,EP,CN,ES",oral formulation; solid composition,composition; formulation; method_of_treatment,Solid oral composition comprising a GLP-1 agonist (semaglutide) and a salt of N-(8-(2-hydroxybenzoyl)amino)caprylic acid (SNAC) enabling oral absorption,n/a,granted(ES)/pending(US) - 待核验,2026-08-07,Google Patents (E3); EPO register pending,medium,https://patents.google.com/patent/US20240277817A1/en,high,Oral semaglutide SNAC composition core family
F02,Zealand Pharma GIP-GLP-1 dual agonist compounds,US11008375B2,US11008375B2; CN105849122B; WO2015...,US11008375B2; CN105849122B,2014-01-01,2021-05-18,Zealand Pharma A/S,"Kodra, ...","US,CN,WO,EP",dual GIP/GLP-1 peptide agonist,compound; peptide_sequence; composition; method_of_treatment,"GIP analogue of Formula I with specific amino acid positions (X2=Aib, X16=Lys, etc.), C-terminal extended sequence Y1, and acylated Lys Ψ with 19-carboxy-nonadecanoyl; for diabetes/obesity",n/a,granted(US/CN),2026-08-07,Google Patents (E3),high,https://patents.google.com/patent/US11008375B2/en,high,Zealand GIP/GLP-1 dual agonist (e.g. ZP7570/Zepbound-adjacent)
F03,Gilead small-molecule GLP-1R modulating compounds,US12091404B2,US12091404B2; US12180197B2; WO2022..; TWI828008B; AU2021212669B2,US12091404B2; US12180197B2; TWI828008B; AU2021212669B2,2021-03-11,2024-09-17,"Gilead Sciences, Inc.","Brizgys, Chou, Cottell, ...","US,WO,EP,TW,AU",small-molecule GLP-1R agonist,compound; composition; method_of_treatment; combination,"Compound of specific structure; pharmaceutical composition; method of treating GLP-1R mediated disease (diabetes, obesity, NASH/NAFLD); combination with anti-obesity agents (PYY, NPYR2 agonist, SGLT2i, ACC inhibitor, etc.)",n/a,granted(US/TW/AU),2026-08-07,Google Patents (E3),high,https://patents.google.com/patent/US12091404B2/en,high,Gilead oral small-molecule GLP-1R agonist platform (GSBR-1290-adjacent class)
F04,Qilu Regor GLP-1R agonists,US20260035362A1,US20260035362A1; AU2020256647B2; WO2020..; CN113853371B,AU2020256647B2; CN113853371B,2018-11-22,2025-01-01,Qilu Regor Therapeutics Inc.,n/a,"US,AU,CN,WO",small-molecule GLP-1R agonist,compound; process; composition,Compound claims (specific small-molecule structure); process claims for preparing compound by reacting intermediate with acid; crystalline/salt forms,n/a,granted(AU/CN)/pending(US),2026-08-07,Google Patents (E3),medium,https://patents.google.com/patent/US20260035362A1/en,high,Qilu Regor (齐鲁锐格) small-molecule GLP-1R (RGT-075-adjacent)
F05,Eccogene substituted imidazoles as GLP-1 receptor agonists,US11584751B1,US11584751B1; WO2021..,US11584751B1,2020-07-20,2023-02-21,"Eccogene (Shanghai) Co., Ltd.",n/a,"US,WO",small-molecule GLP-1R agonist,compound; composition; method_of_treatment,"Substituted imidazole compound Formula (I) with phenyl R1, heteroaryl R2 (indazolyl), cyclopropyl R5/R6, oxadiazolyl T; method of modulating GLP-1R activity; indications incl. obesity, diabetes, Alzheimer's, CVD, liver disease",n/a,granted(US),2026-08-07,Google Patents (E3),medium,https://patents.google.com/patent/US11584751B1/en,high,Eccogene oral small-molecule GLP-1R agonist (ECC5004-adjacent)
F06,Huadong (Zhongmeihuadong) aryl-alkyl-acid GLP-1R agonist,US11981666B2,US11981666B2; CN117362283B; WO2022..; US20240360110A1,US11981666B2; CN117362283B,2021-06-24,2024-05-14,"Hangzhou Zhongmeihuadong Pharmaceutical Co., Ltd.","Zhai, Zhang, Wang, ...","US,CN,WO,EP,JP,KR,CA,AU,TW,...",small-molecule GLP-1R agonist,compound; composition; method_of_treatment,"Compound of Formula II-4 (aryl-alkyl-acid scaffold, R1=halogen F/Cl); pharmaceutical composition; method of treating GLP-1R mediated disease (diabetes, obesity, dyslipidemia, etc.)",n/a,granted(US/CN); pending elsewhere,2026-08-07,Google Patents (E3),medium,https://patents.google.com/patent/US11981666B2/en,high,华东医药 small-molecule GLP-1R (HDM1002-adjacent); oral + crystal-form continuations
F07,Derui (Hangzhou Derui) aromatic ether heterocyclic GLP1R agonist,CN117242067B,CN117242067B; EP4353717A1; WO2023..,CN117242067B,2021-08-30,2024-01-09,Hangzhou Derui Zhizhi (杭州德睿智药) / Mindrank AI Ltd.,n/a,"CN,EP,WO",small-molecule GLP-1R agonist,compound; composition,Aromatic ether-substituted heterocyclic compound as GLP1R agonist (AI-designed scaffold),n/a,granted(CN),2026-08-07,Google Patents (E3),low-medium,https://patents.google.com/patent/CN117242067B/en,medium,AI-driven small-molecule GLP-1R agonist
F08,Shionogi GLP-1R agonist combination pharma preparation,US20240374587A1,US20240374587A1; WO2023..; CN118948849A,none yet,2021-09-08,2024-11-14,"Shionogi & Co., Ltd.",n/a,"US,WO,CN,JP,EP,KR,AU,CA,MX",combination; composition,combination; composition; method_of_treatment,"Pharmaceutical preparation combining (A) GLP-1R agonist compound (fused-ring) with (B) anti-obesity/blood-glucose/cholesterol/BP drug; combo with GLP-1 agonists incl. semaglutide, tirzepatide, orforglipron-adjacent (danuglipron, PF07081532, LY-3502970, RGT-075)",n/a,pending,2026-08-07,Google Patents (E3),low-medium,https://patents.google.com/patent/US20240374587A1/en,medium,Shionogi combination strategy; not yet granted
F09,Lilly GIP/GLP1 co-agonist compounds,CN112469731B,CN112469731B; WO2020..; TWI735917B,CN112469731B; TWI735917B,2018-06-28,2022-10-28,Eli Lilly and Company,n/a,"CN,US,WO,TW,EP",dual GIP/GLP-1 peptide agonist,compound; peptide_sequence; composition,GIP/GLP1 co-agonist compounds (tirzepatide-class); method of treatment for diabetes/obesity,n/a,granted(CN/TW),2026-08-07,Google Patents (E3),medium,https://patents.google.com/patent/CN112469731B/en,high,Lilly tirzepatide family (CN granted)
F10,Novo Nordisk double-acylated GLP-1 derivatives,US11518795B2,US11518795B2; WO2013..,US11518795B2,2012-05-08,2022-12-06,Novo Nordisk A/S,n/a,"US,WO,EP",peptide GLP-1 derivative,compound; peptide_sequence; composition,"Double-acylated GLP-1 derivatives with SEQ ID NOs 3,5,7,9,10 (once-weekly acylated GLP-1 analogs)",n/a,granted(US),2026-08-07,Google Patents (E3),medium,https://patents.google.com/patent/US11518795B2/en,high,Novo long-acting acylated GLP-1 (semaglutide-adjacent chemistry)
