family_id,family_definition,representative_document,representative_publication,applications,grants,earliest_priority,publication_date,applicant_or_assignee,applicant,inventors,jurisdictions,claim_categories,claim_theme,key_claim_elements,mutation_or_biomarker,official_status,status_as_of,status_source,status_confidence,confidence,source_url,notes
P53-FAM-001,"MDM2-p53 interaction antagonist core (nutlin cis-imidazoline class, Roche)",US20050239095A1,US20050239095A1,WO2004065360A2;US10/539048;EP1587494A2;CN1745077A,,2003-01-21,2005-10-27,F. Hoffmann-La Roche AG,F. Hoffmann-La Roche AG,,WO;US;EP;CN;JP,compound;composition;indication,MDM2-p53 界面拮抗剂小分子（nutlin 类）,cis-imidazoline MDM2 antagonist (nutlin class) blocking p53-MDM2 interaction; composition and method of treating cancer,wild-type p53 restoration,public mirror;待官方核验,2026-08-07,Google Patents XHR via Jina mirror,low,low,https://patents.google.com/patent/US20050239095A1/en,Roche nutlin 类骨架为 MDM2-p53 拮抗剂领域起点；代表文献为族内公开文本，US 授权号待核验。
P53-FAM-002,idasanutlin (RG7388) MDM2 antagonist (Roche),WO2013102522A1,WO2013102522A1,PCT/EP2013/000002;US14/370900;EP2802552A1;CN104039774A;JP6067021B2,JP6067021B2,2012-01-06,2013-07-11,F. Hoffmann-La Roche AG,F. Hoffmann-La Roche AG,,WO;US;EP;CN;JP;KR,compound;composition;indication,MDM2-p53 界面拮抗剂（idasanutlin/RG7388）,pyrrolidinone-based MDM2 antagonist RG7388/idasanutlin; pharmaceutical composition and treatment of hematologic cancer,wild-type p53 restoration; TP53-wt AML/MDS,public mirror;待官方核验,2026-08-07,Google Patents XHR via Jina mirror,low,low,https://patents.google.com/patent/WO2013102522A1/en,idasanutlin 为进入临床后期的 MDM2 拮抗剂；US 授权号与 PTE 待官方核验。
P53-FAM-003,siremadlin (HDM201) MDM2 antagonist and combination (Novartis),US20190276414A1,US20190276414A1,PCT/IB2018/050194;WO2018142350A1;US16/486147;CN110325523A,,2017-01-06,2019-09-12,Novartis AG,Novartis AG,,WO;US;EP;CN;JP;KR;AU,compound;composition;indication;combination,MDM2-p53 拮抗剂（siremadlin/HDM201）及联用,"HDM201/siremadlin (MDM2-p53 interaction inhibitor) compound, composition, and combination use in treating cancer",TP53-wt; p53 通路状态生物标志物,public mirror;待官方核验,2026-08-07,Google Patents XHR via Jina mirror,low,low,https://patents.google.com/patent/WO2018142350A1/en,Novartis HDM201 系列；剂量/给药方案族见 CA2992221C/AU2017362040B2，本族为化合物与联用方向。
P53-FAM-004,navtemadlin (KRT-232) MDM2 antagonist treatment methods (Kartos/MD Anderson),US20210379052A1,US20210379052A1,PCT/US2019/033386;WO2019226559A1;US17/055096;CN112533612A,,2018-05-10,2021-12-09,Kartos Therapeutics Inc.,Kartos Therapeutics Inc.,,WO;US;EP;CN;JP;KR;AU,compound;indication;regimen,MDM2 拮抗剂给药方案与治疗用途（navtemadlin/KRT-232）,"KRT-232/navtemadlin MDM2 inhibitor and method of treating cancer (including myelofibrosis, AML) with defined dosing regimen",TP53-wt myelofibrosis; p53 通路,public mirror;待官方核验,2026-08-07,Google Patents XHR via Jina mirror,low,low,https://patents.google.com/patent/WO2019226559A1/en,Kartos navtemadlin 治疗方案族；CN120037232A/KR20210019422A 为同族国家阶段。
P53-FAM-005,milademetan (DS-3032b) MDM2 antagonist (Daiichi Sankyo),WO2012165504A1,WO2012165504A1,PCT/JP2012/003716;US14/123558;EP2714664A1;CN103688172A;JP6052802B2,JP6052802B2,2011-06-03,2012-12-06,"Daiichi Sankyo Co., Ltd.","Daiichi Sankyo Co., Ltd.",,WO;US;EP;CN;JP;KR,compound;composition;indication,MDM2 拮抗剂（milademetan/DS-3032b）,DS-3032b/milademetan spiro-oxindole MDM2 antagonist; composition and treatment of cancer,wild-type p53,public mirror;待官方核验,2026-08-07,Google Patents XHR via Jina mirror,low,low,https://patents.google.com/patent/WO2012165504A1/en,Daiichi Sankyo milademetan 化合物族；代表公开文本为 WO2012165504A1。
P53-FAM-006,APG-115/alrizomadlin MDM2 antagonist and BCL-2 combination (Ascentage),US20180280374A1,US20180280374A1,PCT/US2018/014748;WO2018140850A1;US16/483716;CN110612094A,,2017-01-20,2018-10-04,"Ascentage Pharma (Suzhou) Co., Ltd.","Ascentage Pharma (Suzhou) Co., Ltd.",,WO;US;EP;CN;JP;KR;AU,compound;composition;combination;indication,MDM2 拮抗剂（APG-115/alrizomadlin）及 BCL-2 联用,APG-115/alrizomadlin MDM2 inhibitor; combination product with BCL-2 inhibitor and use in treating cancer,TP53-wt; 血液肿瘤,public mirror;待官方核验,2026-08-07,Google Patents XHR via Jina mirror,low,low,https://patents.google.com/patent/WO2018140850A1/en,Ascentage APG-115 化合物与联用族；AU2019314624B2/US12268665B2 为同族成员。
P53-FAM-007,AMG-232 MDM2 antagonist combination therapy (Amgen),US20170071908A1,US20170071908A1,PCT/US2015/029257;WO2015172117A1;US15/308713;CN106456578A,,2014-05-12,2017-03-16,Amgen Inc.,Amgen Inc.,,WO;US;EP;CN;JP;KR;AU,compound;composition;combination;indication,MDM2 拮抗剂联用疗法（AMG-232）,AMG-232 MDM2 inhibitor and combination therapy with additional agent in treating p53 wild-type cancer,TP53-wt; p53 pathway,public mirror;待官方核验,2026-08-07,Google Patents XHR via Jina mirror,low,low,https://patents.google.com/patent/WO2015172117A1/en,Amgen AMG-232 联用疗法族；AU2020201321B2 为同族授权成员。
P53-FAM-008,APR-246/eprenetapopt mutant p53 reactivator (Aprea/Karolinska),WO2021053155A1,WO2021053155A1,PCT/IB2020/058395;US17/760607;JP2022549435A,,2019-09-18,2021-03-25,Aprea Therapeutics AB,Aprea Therapeutics AB,,WO;US;EP;JP;KR;CN;AU,compound;composition;indication;combination,突变 p53 再激活（APR-246/eprenetapopt）及联用,APR-246/eprenetapopt (PRIMA-1MET) mutant p53 reactivator; combination with Bcl-2/Mcl-1 inhibitor and rituximab in treating TP53-mutant cancer and lymphoma,TP53-mutant MDS/AML; Y220C/other mutants,public mirror;待官方核验,2026-08-07,Google Patents XHR via Jina mirror,low,low,https://patents.google.com/patent/WO2021053155A1/en,Aprea APR-246 联用族；原 PRIMA-1MET 化合物族(3-quinuclidinone)见 JP6106228B2/DK2525796T3。
P53-FAM-009,PRIMA-1MET 3-quinuclidinone mutant p53 reactivator core (Aprea),JP6106228B2,JP6106228B2,PCT/SE2011/050043;WO2011088896A1;US13/520377;EP2525796A1;CN102781438A,JP6106228B2;EP2525796B1;DK2525796T3,2010-01-21,2017-03-29,Aprea AB,Aprea AB,,WO;US;EP;CN;JP;KR;AU,compound;formulation;indication,突变 p53 再激活核心化合物（3-quinuclidinone/PRIMA-1MET）,3-quinuclidinone derivative (PRIMA-1MET/APR-246) aqueous solution for reactivating mutant p53 and treating cancer,TP53-mutant solid tumors,public mirror;待官方核验,2026-08-07,Google Patents XHR via Jina mirror,low,low,https://patents.google.com/patent/JP6106228B2/en,Aprea 3-quinuclidinone 核心化合物族；为 APR-246 的活性成分保护方向。
P53-FAM-010,rezatapopt (PC14586) p53-Y220C reactivator (PMV Pharma),EP4034104B1,EP4034104B1,PCT/US2020/051466;WO2021055757A1;US17/760614;EP4034104A1;CN114786666A,EP4034104B1,2019-09-23,2025-08-06,"PMV Pharmaceuticals, Inc.","PMV Pharmaceuticals, Inc.",Binh Vu;Romyr Dominique;Hongju Li;Bruce Fahr;Andrew Good,WO;US;EP;CN;JP;KR;AU,compound;composition;indication;dosage;biomarker,"突变 p53 再激活（rezatapopt/PC14586, p53-Y220C）","small-molecule p53-Y220C reactivator (rezatapopt/PC14586); compound claim, composition, method of inducing apoptosis in p53-mutant cell, and treatment of cancer with defined dose range (20-2000 mg)",TP53-Y220C mutation; mutant-specific biomarker,Active (EP granted; anticipated expiration 2040-09-22),2026-08-07,Google Patents XHR via Jina mirror + EP4034104B1 detail page,medium,medium,https://patents.google.com/patent/EP4034104B1/en,PMV rezatapopt 为核心 Y220C 再激活剂；EP4034104B1 权利要求含化合物、组合物、凋亡方法、癌症治疗与剂量范围。
