claim_id,family_id,document,claim_no,claim_category,element,structure_composition,function_mechanism,method_steps,result_limitation,jurisdiction_status,coverage,confidence,supporting_notes,claim_location
CL-P53-001-1,P53-FAM-001,US20050239095A1,1,compound,cis-imidazoline MDM2 antagonist (nutlin class),cis-imidazoline core with aryl substituents binding MDM2 p53 pocket,blocks p53-MDM2 interaction stabilizing wild-type p53,N/A,N/A,US published application (待核验),explicitly_disclosed,medium,Roche nutlin 骨架权利要求;授权范围待官方文本核验,1
CL-P53-001-2,P53-FAM-001,US20050239095A1,(dependent),composition,Pharmaceutical composition comprising the MDM2 antagonist,,MDM2 inhibition restoring p53 function,,,published,potentially_covered,medium,组合物保护,(dependent)
CL-P53-002-1,P53-FAM-002,WO2013102522A1,1,compound,Pyrrolidinone-based MDM2 antagonist (idasanutlin/RG7388),pyrrolidinone scaffold,MDM2-p53 interface blockade,,,WO published (待核验),explicitly_disclosed,medium,idasanutlin 核心结构,1
CL-P53-002-2,P53-FAM-002,WO2013102522A1,(dependent),indication,Use in treating cancer (incl. hematologic),,restores p53 in TP53-wt cells,administration to cancer patient,,published,potentially_covered,medium,用途方向,(dependent)
CL-P53-003-1,P53-FAM-003,WO2018142350A1,1,compound,HDM201/siremadlin MDM2 inhibitor,pyrroloimidazole/dihydroimidazole class,blocks MDM2-p53 interaction,,,WO published (待核验),explicitly_disclosed,medium,siremadlin 核心结构,1
CL-P53-003-2,P53-FAM-003,WO2018142350A1,(dependent),combination,Combination of HDM201 with second therapeutic agent,,synergistic anti-tumor via p53 restoration,co-administration,,published,potentially_covered,medium,联用方向,(dependent)
CL-P53-004-1,P53-FAM-004,WO2019226559A1,1,compound,KRT-232/navtemadlin MDM2 inhibitor,isoinolinone/pyridine class,MDM2-p53 interaction blockade,,,WO published (待核验),explicitly_disclosed,medium,navtemadlin 核心,1
CL-P53-004-2,P53-FAM-004,WO2019226559A1,(dependent),regimen,Method of treating cancer with defined dosing regimen,,p53 restoration with manageable hematologic toxicity,dosing schedule over cycle,,published,potentially_covered,medium,给药方案方向,(dependent)
CL-P53-005-1,P53-FAM-005,WO2012165504A1,1,compound,DS-3032b/milademetan spiro-oxindole MDM2 antagonist,spiro-oxindole scaffold,blocks MDM2-p53 interaction,,,WO published (待核验),explicitly_disclosed,medium,milademetan 核心结构,1
CL-P53-006-1,P53-FAM-006,WO2018140850A1,1,compound,APG-115/alrizomadlin MDM2 inhibitor,spirooxindole/piperidinone class,MDM2-p53 blockade,,,WO published (待核验),explicitly_disclosed,medium,APG-115 核心,1
CL-P53-006-2,P53-FAM-006,WO2018140850A1,(dependent),combination,Combination of MDM2 inhibitor with BCL-2 inhibitor,,dual pro-apoptotic via p53 + BCL-2 inhibition,co-administration for hematologic cancer,,published,potentially_covered,medium,BCL-2+MDM2 联用,(dependent)
CL-P53-007-1,P53-FAM-007,WO2015172117A1,1,compound,AMG-232 MDM2 inhibitor,piperidine/pyrrolidine sulfonamide class,MDM2-p53 interaction blockade,,,WO published (待核验),explicitly_disclosed,medium,AMG-232 核心,1
CL-P53-007-2,P53-FAM-007,WO2015172117A1,(dependent),combination,AMG-232 in combination with anti-cancer agent,,synergistic p53 restoration,co-administration,,published,potentially_covered,medium,联用疗法,(dependent)
CL-P53-008-1,P53-FAM-008,WO2021053155A1,1,combination,Combination of mutant p53 reactivator (APR-246) with Bcl-2/Mcl-1 inhibitor and rituximab,APR-246 (eprenetapopt) active ingredient,reactivates mutant p53; pro-apoptotic,co-administration for TP53-mutant cancer/lymphoma,response in TP53-mutant MDS/AML,WO published (待核验),explicitly_disclosed,medium,APR-246 联用方案,1
CL-P53-009-1,P53-FAM-009,JP6106228B2,1,compound,3-quinuclidinone derivative (PRIMA-1MET/APR-246 active),3-quinuclidinone core,reactivates mutant p53 restoring transcription,,,JP granted (待核验),explicitly_disclosed,medium,APR-246 活性成分保护,1
CL-P53-009-2,P53-FAM-009,JP6106228B2,(dependent),formulation,Aqueous solution comprising 3-quinuclidinone derivative,,stable formulation for parenteral use,administration of aqueous solution,,granted,potentially_covered,medium,制剂方向,(dependent)
CL-P53-010-1,P53-FAM-010,EP4034104B1,1,compound,p53-Y220C reactivator (rezatapopt/PC14586),small-molecule compound binding p53 Y220C pocket,binds p53 mutant; restores function,,,EP granted (Active; exp 2040-09-22),explicitly_disclosed,medium,PMV rezatapopt 核心化合物权利要求,1
CL-P53-010-2,P53-FAM-010,EP4034104B1,4,method,Use in inducing apoptosis in a cell expressing p53 mutant,,compound binds p53 mutant and induces apoptosis,contacting cell with therapeutically effective amount,apoptosis in p53-mutant cell,EP granted,explicitly_disclosed,medium,凋亡诱导方法权利要求,4
CL-P53-010-3,P53-FAM-010,EP4034104B1,8,indication,Use in treatment of cancer,,"binds p53 mutant, reactivates tumor suppression",administration (oral/IV) 20-2000 mg,treatment of p53-mutant cancer,EP granted,explicitly_disclosed,medium,癌症治疗用途 + 剂量范围,8
CL-P53-010-4,P53-FAM-010,EP4034104B1,6,biomarker,p53 Y220C mutant as target,,Y220C-specific,patient with Y220C-mutant tumor,,EP granted,explicitly_disclosed,medium,Y220C 伴随靶点,6
CL-P53-011-1,P53-FAM-011,WO2023016434A1,1,compound,Small-molecule p53-Y220C reactivator (Jacobio),novel scaffold distinct from PC14586,reactivates mutant p53 (Y220C),,treatment of p53-mutant cancer,WO published (待核验),explicitly_disclosed,medium,加科思 Y220C 化合物,1
CL-P53-012-1,P53-FAM-012,US9284275B2,1,compound,COTI-2 p53-reactivating compound,thiosemicarbazone/pyrimidine scaffold,reactivates mutant p53,,treatment of TP53-mutant cancer,US granted (待核验),explicitly_disclosed,medium,COTI-2 核心,1
CL-P53-013-1,P53-FAM-013,US10202431B2,1,compound,Stabilized (stapled) p53 peptide,hydrocarbon-stapled p53-derived peptide,binds MDM2/MDMX-p53 interface restoring p53 activity,,,US granted (待核验),explicitly_disclosed,medium,稳定 p53 肽,1
CL-P53-014-1,P53-FAM-014,US7041284B2,1,gene_therapy,Recombinant adenoviral vector expressing p53,Ad vector with CMV-p53 expression cassette,p53 expression restores tumor suppression,in vivo delivery to tumor cell,reduced tumor growth,p53-deficient tumor,explicitly_disclosed,medium,explicitly_disclosed,1
CL-P53-014-2,P53-FAM-014,US7041284B2,(dependent),method,Method of treating p53-deficient tumor by administering Ad-p53,,restore growth suppression,administer vector to patient,,granted,potentially_covered,medium,治疗用途,(dependent)
CL-P53-015-1,P53-FAM-015,US9746471B2,1,biomarker,p53 biomarker profile predicting response to p53 gene therapy,biomarker panel (gene expression profile),predicts response to anti-hyperproliferative gene therapy,assaying patient sample then selecting treatment,response prediction,US granted (待核验),explicitly_disclosed,medium,伴随诊断/患者分层,1
CL-P53-016-1,P53-FAM-016,CN101274096B,1,gene_therapy,Ad5CMV-p53 (Gendicine) recombinant adenovirus composition,Ad5 vector carrying CMV-p53,expresses human wild-type p53 in tumor cells,administration to cancer patient,treatment of malignant tumor,CN granted (待核验),explicitly_disclosed,medium,Gendicine 核心载体与适应症,1
CL-P53-017-1,P53-FAM-017,US10080774B2,1,gene_therapy,Oncolytic adenovirus armed with therapeutic genes,conditionally replicative Ad with E1A/E1B mutation + therapeutic gene (p53),tumor-selective replication and lysis,administer to tumor patient,oncolysis of p53-deficient tumor,US granted (待核验),explicitly_disclosed,medium,溶瘤腺病毒 p53,1
CL-P53-018-1,P53-FAM-018,US20220127279A1,1,degrader,MDM2-based PROTAC bifunctional compound,MDM2-binding ligand linked to E3 ligase ligand,induces MDM2/p53-pathway protein degradation via ubiquitin-proteasome,,,US published (待核验),explicitly_disclosed,medium,Arvinas MDM2-PROTAC,1
CL-P53-019-1,P53-FAM-019,WO2017176957A1,1,degrader,MDM2 protein degrader and monofunctional intermediate,MDM2 ligand + E3 ligase recruiter,degrades MDM2 restoring p53,,,WO published (待核验),explicitly_disclosed,medium,Michigan MDM2 降解剂,1
CL-P53-020-1,P53-FAM-020,US8101165B2,1,vaccine,p53-derived immunogen/peptide vaccine,immunogenic p53 peptide/epitope,induces immune response against p53-expressing tumor,immunization of patient,anti-tumor immune response,US granted (待核验),explicitly_disclosed,medium,Neovacs p53 疫苗,1
CL-P53-021-1,P53-FAM-021,WO2017197046A1,1,degrader,Degronimer for targeted protein degradation (incl. MDM2/p53 pathway),degronimer chemistry,degradation of target proteins including MDM2/p53 axis,,,WO published (待核验),explicitly_disclosed,medium,C4 Therapeutics 降解技术,1
CL-P53-022-1,P53-FAM-022,CN117986235A,1,compound,p53-Y220C selective reactivator (Changchun Genescience),novel Y220C-selective small molecule,reactivates p53-Y220C,,treatment of Y220C-mutant cancer,CN published application (审查中),explicitly_disclosed,medium,金赛药业 Y220C 化合物,1
CL-P53-023-1,P53-FAM-023,WO2021133772A1,1,biomarker,Biomarkers for MDM2 antagonist therapy (navtemadlin),biomarker panel,predicts response/toxicity to MDM2 antagonist,assaying then administering therapy,patient selection,WO published (待核验),explicitly_disclosed,medium,Otsuka 伴随诊断,1
CL-P53-024-1,P53-FAM-024,WO2019084026A1,1,compound,(4-hydroxypyrrolidin-2-yl)-heterocyclic MDM2 antagonist,4-hydroxypyrrolidine scaffold,MDM2-p53 interaction blockade,,,WO published (待核验),explicitly_disclosed,medium,Genentech 新一代 MDM2,1
CL-P53-025-1,P53-FAM-025,WO2021113644A1,1,combination,CD8+ T cell enhancer + immune checkpoint inhibitor + p53 tumor suppressor therapy,combination immunotherapy including mutant p53 reactivator (PC14586/APR-246),immune activation + p53 restoration,co-administration regimen,treatment of cancer,WO published (待核验),explicitly_disclosed,medium,Multivir p53 联合免疫,1
