finding_id,conclusion_or_fact,evidence_type,source_url,document_no,claim_or_event_location,captured_at,direct_fact_or_inference,confidence,reviewer_action
E01,Google Patents XHR search q='GLP-1 receptor' agonist returned >30k hits; retrieved top 3 pages,E4,https://patents.google.com/xhr/query,n/a,search,2026-08-07,direct_fact,high,reconcile counts at WIPO/EPO
E02,US20240277817A1 discloses oral semaglutide + SNAC solid composition,E2,https://patents.google.com/patent/US20240277817A1/en,US20240277817A1,claims,2026-08-07,direct_fact,medium,verify EPO register for EP family status
E03,ES3041298T3 (Novo) is an EP-grant national phase of solid GLP-1+SNAC composition,E3,https://patents.google.com/patent/ES3041298T3/en,ES3041298T3,grant,2026-08-07,direct_fact,medium,confirm EP grant number
E04,US11008375B2 (Zealand) claims GIP analogue Formula I with defined positions and acylated Lys,E2,https://patents.google.com/patent/US11008375B2/en,US11008375B2,Claim 1,2026-08-07,direct_fact,high,
E05,"US12091404B2 (Gilead) granted 2024-09-17, status Active, anticipated expiration 2042-03-09",E3,https://patents.google.com/patent/US12091404B2/en,US12091404B2,status/legal events,2026-08-07,direct_fact,medium,confirm at USPTO Patent Center
E06,"Gilead US12091404B2 claim 4 lists broad anti-obesity combination incl. SGLT2i, ACC inhibitor, PYY, NPYR2 agonist",E2,https://patents.google.com/patent/US12091404B2/en,US12091404B2,Claim 4,2026-08-07,direct_fact,high,
E07,"US11584751B1 (Eccogene) granted US, claims substituted imidazoles and method of modulating GLP-1R",E3,https://patents.google.com/patent/US11584751B1/en,US11584751B1,claims/status,2026-08-07,direct_fact,medium,ECC5004 oral asset
E08,US11981666B2 (Zhongmeihuadong) granted; family includes CN117362283B; continuation US20240360110A1 pending,E3,https://patents.google.com/patent/US11981666B2/en,US11981666B2,family/legal events,2026-08-07,direct_fact,medium,
E09,CN117362283B (Zhongmeihuadong) granted CN 2024-07-09 within same family as US11981666B2,E3,https://patents.google.com/patent/CN117362283B/en,CN117362283B,grant,2026-08-07,direct_fact,medium,
E10,CN112469731B (Lilly) granted CN; GIP/GLP1 co-agonist (tirzepatide-class),E3,https://patents.google.com/patent/CN112469731B/en,CN112469731B,grant,2026-08-07,direct_fact,medium,
E11,US9789165B2/EP3080154B1 (Sanofi) granted; dual GLP-1/GIP exendin-4 based agonists,E3,https://patents.google.com/patent/US9789165B2/en,US9789165B2,grant,2026-08-07,direct_fact,medium,
E12,US20240374587A1 (Shionogi) pending US; WO2023038039A1 status not_active Ceased; combo claims with named oral small molecules,E3,https://patents.google.com/patent/US20240374587A1/en,US20240374587A1,claims/status,2026-08-07,direct_fact,medium,WO ceased; check JP/CN status
E13,Twist Bioscience US12391762B2/US12331427B2/JP7836295B2 granted; anti-GLP1R antibodies,E3,https://patents.google.com/patent/US12391762B2/en,US12391762B2,grant,2026-08-07,direct_fact,medium,
E14,Qilu Regor AU2020256647B2 granted; US20260035362A1 pending with canceled claims 1-40 and new claims 41-44,E3,https://patents.google.com/patent/US20260035362A1/en,US20260035362A1,claims/status,2026-08-07,direct_fact,medium,check US official status
E15,CN113773310B (Chongqing Kangding) granted CN; GLP-1 small molecule cardiovascular benefit,E3,https://patents.google.com/patent/CN113773310B/en,CN113773310B,grant,2026-08-07,direct_fact,low,CN patent authority
E16,CN117242067B (Hangzhou Derui) granted CN; aromatic ether heterocyclic GLP1R agonist,E3,https://patents.google.com/patent/CN117242067B/en,CN117242067B,grant,2026-08-07,direct_fact,low,AI-designed; confirm scope
E17,EP2190872B1 (Novo) granted; foundational GLP-1 derivative family from 2007 priority,E3,https://patents.google.com/patent/EP2190872B1/en,EP2190872B1,grant,2026-08-07,direct_fact,medium,
E18,Novo US11518795B2 granted; double-acylated GLP-1 derivatives,E3,https://patents.google.com/patent/US11518795B2/en,US11518795B2,grant,2026-08-07,direct_fact,medium,
E19,"Search query 'GLP1R antagonist' returned ~8,500 hits; 'GLP1R antagonist antibody' blocked by rate-limit then resolved via jina mirror",E4,https://patents.google.com/xhr/query,n/a,search log,2026-08-07,direct_fact,high,rate-limit documented
E20,All searches executed via Google Patents JSON endpoint; jina reader (r.jina.ai) used as mirror fallback after direct HTTP 503/rate-limit,E4,https://r.jina.ai/,n/a,method,2026-08-07,direct_fact,high,documented in source log
